,x1,x2,T
0,0.014271,0.21807,1973.98
1,0.015832,0.215386,2003.3435
2,0.016282,0.211807,2033.1635
3,0.01724,0.208516,2071.2105
4,0.0186,0.2054,2103.087
5,0.019944,0.201377,2133.1355
6,0.021816,0.196314,2173.582
7,0.022489,0.192731,2203.174
8,0.023834,0.188488,2233.4515
9,0.026598,0.182075,2273.326
10,0.027941,0.177607,2303.375
11,0.029735,0.172465,2333.538
12,0.033404,0.164049,2374.784
13,0.036306,0.157333,2403.6904999999997
14,0.038317,0.151072,2433.2825000000003
15,0.043332,0.139976,2475.1
16,0.047568,0.13102,2503.2065000000002
17,0.053173,0.122519,2533.7125
18,0.065592,0.104296,2578.9575
