,x,T
,0.014271,1973.98
,0.015832,2003.3435
,0.016282,2033.1635
,0.01724,2071.2105
,0.0186,2103.087
,0.019944,2133.1355
,0.021816,2173.582
,0.022489,2203.174
,0.023834,2233.4515
,0.026598,2273.326
,0.027941,2303.375
,0.029735,2333.538
,0.033404,2374.784
,0.036306,2403.6904999999997
,0.038317,2433.2825000000003
,0.043332,2475.1
,0.047568,2503.2065000000002
,0.053173,2533.7125
,0.065592,2578.9575
,0.21807,1973.98
,0.215386,2003.3435
,0.211807,2033.1635
,0.208516,2071.2105
,0.2054,2103.087
,0.201377,2133.1355
,0.196314,2173.582
,0.192731,2203.174
,0.188488,2233.4515
,0.182075,2273.326
,0.177607,2303.375
,0.172465,2333.538
,0.164049,2374.784
,0.157333,2403.6904999999997
,0.151072,2433.2825000000003
,0.139976,2475.1
,0.13102,2503.2065000000002
,0.122519,2533.7125
,0.104296,2578.9575
