,x2,T2
0,0.222426,1700.135
1,0.221613,1721.455
2,0.220823,1740.338
3,0.220627,1758.696
4,0.219663,1779.033
5,0.219497,1797.069
6,0.218557,1814.72
7,0.217593,1835.057
8,0.217024,1854.627
9,0.216839,1874.581
10,0.216239,1897.604
11,0.215249,1920.628
12,0.213865,1944.418
13,0.213296,1963.988
14,0.211919,1987.011
15,0.211336,2008.116
16,0.209955,2031.523
17,0.207413,2054.546
18,0.204875,2077.184
19,0.200763,2102.124
20,0.195505,2125.145
21,0.19026,2146.631
22,0.185418,2166.582
23,0.181338,2188.068
24,0.175709,2209.17
25,0.169699,2229.504
26,0.159807,2249.836
27,0.148025,2264.795
28,0.131987,2278.216
