System,Nature,A00,A01,A02,A10,A11,A12,A20,A21,A22,A30,A31,A32,A40,A41,A42,Ref
La2O3-SiO2,monotectic,-2.73671557e5,-4.1830258e1,0.,2.43104889e5,-1.85821064e1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,Toropov & Bondar (1961)
Sm2O3-SiO2,monotectic,-5.92969819e+05,1.72297186e+02,-1.34125360e-01,3.43287505e+05,-8.86115894e+01,8.25581423e-01,-4.64892851e-01,-4.50813928e-01,1.44393531e+00,-1.32947583e-01,-7.43968600e+00,1.41072566e+00,-2.76762577e-01,5.81367827e+00,1.19876759e+00,Toropov & Bondar (1961)
Dy2O3-SiO2,monotectic,21072.37523155,-6674.46400501,-209.99518409,79611.83508811,5750.08612973,-183.56575093,-8059.49598423,-3727.10623831,-641.76253984,-5207.64186695,1459.79908434,-590.16275425,-1341.43740767,-231.18913116,-437.89017072,Toropov et al. (1961)
Er2O3-SiO2,monotectic,-1.37206754e+06,7.73485402e+02,4.38417290e-01,6.81368926e+05,-4.28672619e+02,1.27436168e+00,-1.46985242e+04,7.57642337e+01,-1.26667675e+00,-3.22074332e-01,-5.11420364e-01,-7.01841140e-01,-1.35461741e+00,3.71671319e-01,-6.44780066e-01,Toropov et al. (1961)
MgO-SiO2,monotectic,-3.27609824e+05,1.25085506e+02,1.42526394e-01,3.59068204e+05,-1.36218916e+02,-2.61394251e-01,3.20475164e-03,-9.38548804e-01,-7.72270720e-01,-5.99227025e-01,5.62589340e+00,3.40657133e-01,2.87337474e-01,-4.00464475e+00,-1.02808869e-01,Hageman & Oonk (1986)
MgO-B2O3,subliquidus,-4.78524484e+04,-7.15167354e+00,4.30931748e+00,1.14529849e+05,-2.37715408e+01,1.68777188e+00,-1.30431925e-01,4.26118860e-01,4.98975150e+00,-1.61563472e+00,4.24819213e+00,-2.26674158e+00,6.98526070e-01,-7.18145613e+00,2.26196151e+00,Chen et al. (2015)
CaO-SiO2,monotectic,1.24649281e+05,-1.90980767e+02,4.81463465e-01,2.61511407e+05,-5.54356708e+01,-1.07903763e+00,-1.58676088e-01,9.78870889e+00,-6.27794164e-01,2.76324248e-02,5.91433876e+00,-5.39735308e-01,-3.51395593e-01,-1.00818835e+01,1.19187558e+00,Hageman et al. (1986)
CaO-B2O3,subliquidus,-3.234927e5,5.57e1,0.,2.265132e+5,-5.05e1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,Kim & Sanders (2003)
SrO-SiO2,monotectic,1.53754525e+06,-1.03380050e+03,-5.64483043e-01,-3.74678263e+05,3.29468457e+02,-1.40137160e-01,3.21324661e-01,-2.05750456e+00,5.12135325e-01,-4.16279673e-01,-1.32771291e+00,5.46276663e-01,-1.04242303e-01,-2.39404882e-01,-3.89373046e-01,Hageman & Oonk (1986)
BaO-SiO2,subliquidus,-1.27285239e+06,1.89033014e+03,3.95624076e+02,6.65687050e+05,-1.47914773e+03,-2.00085404e+02,1.52720620e+03,8.36497490e+02,2.23546668e+02,3.07298422e+03,-3.83360454e+02,-9.13615772e+02,1.99808465e+03,7.61984931e+01,-4.45253642e+02,Haller et al. (1974)
BaO-B2O3,subliquidus,-1.5127838e6,5.149e2,0.,7.4460777e5,-2.786e2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,Kim & Sanders (2003)
Na2O-SiO2,subliquidus,181044.33439143,7270.07145968,-677.04550795,-67911.51260497,-6903.3699534,-654.35542433,-15330.78526306,5416.28017659,-1377.50865046,2906.3095372,-2796.52433457,-1004.01785817,20394.35814664,669.12515807,1060.01908485,Haller et al. (1974)
Li2O-SiO2,subliquidus,9.03837087e+04,1.65147064e+03,4.26593703e+01,-1.66059893e+04,-1.66512269e+03,1.00216292e+02,2.63558330e+03,1.43180008e+03,1.22823277e+02,2.90249536e+03,-8.32358414e+02,1.34559996e+02,3.06990928e+03,2.30626958e+02,1.40185305e+02,Haller et al. (1974)
K2O-SiO2,subliquidus,-2.05089885e+05,-3.25717259e+03,-5.64822725e+01,1.18622574e+05,2.71257497e+02,-1.44139091e+02,-3.27343122e+03,3.46565573e+03,-1.91539927e+02,-3.66823480e+03,-3.76905522e+03,-2.14972672e+02,-3.80849962e+03,1.29562329e+03,-2.23695283e+02,Haller et al. (1974)
SiO2-SiO2,subliquidus,37800.04140091007,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,Kondepudi & Prigogine (2015)
