oxide,rho,Tf,DHf,Z,r,c
SiO2,2334.,1986.15,7677.64,4,0.26,4
B2O3,1800.,743.15,2.458e4,3,0.25,3
La2O3,6510.,2588.15,64972.9176,3,1.03,6
Sm2O3,7400.0,2608.15,65474.9976,3,0.96,6
Dy2O3,7407.0,2681.15,67307.5896,3,0.91,6
Er2O3,8640.0,2553.15,64094.2776,3,0.89,6
MgO,3600.,3098.15,7.746e4,2,0.72,6
CaO,3340.,3171.15,7.536e4,2,1.0,6
SrO,4700.,2703.15,6.992e4,2,1.18,6
BaO,5720.,2245.15,4.6e4,2,1.35,6
Na2O,2270.,1405.15,2.973e4,1,0.99,4
Li2O,2013.,1843.15,5.862e4,1,0.59,4
K2O,2350.,1013.15,2.847e4,1,1.37,4
